# time, vmax, integral, width, baseline, dt
0.101337,166.742859,6552.786133,55.031784,2.257143,0.000000
0.232774,170.614288,6546.360352,52.566284,2.385714,0.131437
0.357577,173.371429,7022.859863,56.005722,1.628571,0.124803
0.414857,159.899994,3297.867676,26.769043,2.100000,0.057280
0.609235,167.500000,3660.365967,28.239281,1.500000,0.194378
0.616992,167.214279,6925.936035,58.109589,2.785714,0.007757
0.918700,167.485718,6942.616699,57.551437,2.514286,0.301708
1.288253,176.471436,6788.268066,56.023659,2.528571,0.369553
1.392017,173.614288,6593.874512,53.327858,2.385714,0.103764
1.408608,171.342850,6978.629883,57.676193,1.657143,0.016591
1.747826,167.128571,5471.615723,42.956413,2.871428,0.339218
1.791238,171.942856,6889.204590,55.913528,2.057143,0.043412
1.816856,178.742859,6917.529785,55.761330,2.257143,0.025618
2.124236,168.485718,6633.893555,54.487137,1.514286,0.307380
2.631871,176.571426,6707.870117,51.914284,1.428571,0.507635
2.736581,169.542862,6570.968262,52.332954,1.457143,0.104710
3.008207,166.242859,6365.411133,52.992859,2.757143,0.271626
3.228246,168.128571,6879.089355,56.569046,1.871429,0.220039
3.313863,173.257141,6668.562988,52.376190,1.742857,0.085617
3.677650,168.757141,6548.462891,53.630325,2.242857,0.363787
3.811627,172.442856,5715.634277,43.818031,2.557143,0.133977
4.031423,164.814285,3539.887695,28.436424,2.185714,0.219796
4.253984,166.557144,6530.668457,53.340714,2.442857,0.222561
4.448048,169.399994,6963.946289,56.096069,1.600000,0.194064
4.708719,169.214279,7018.480957,57.986671,1.785714,0.260672
4.970534,164.585709,5750.968262,44.916245,2.414286,0.261815
4.991986,169.914291,6564.006348,52.415710,2.085714,0.021452
5.072969,167.342850,6614.144043,53.027504,1.657143,0.080983
5.286736,173.185715,6905.716797,56.834999,2.814286,0.213767
5.328533,177.685715,5752.214355,42.913925,2.314286,0.041797
5.387108,171.100006,6983.298828,58.133392,1.900000,0.058575
5.393167,150.699997,2917.541504,26.462135,3.300000,0.006059
5.604983,168.928574,6413.652344,52.910721,2.071429,0.211816
5.757497,168.742859,6513.113770,52.416428,2.257143,0.152514
6.052013,172.628571,6582.943848,53.415382,2.371428,0.294516
6.274232,167.585709,6875.705078,58.280716,2.414286,0.222219
6.516395,168.528564,5661.025879,43.636963,1.471429,0.242163
6.732549,162.485718,6519.063965,54.087143,2.514286,0.216154
6.922573,144.885712,2947.088135,26.404518,2.114286,0.190024
7.022275,170.342850,3748.869141,29.093712,1.657143,0.099702
7.175689,173.000000,5684.250977,43.278099,2.000000,0.153414
7.179917,175.857147,6593.474609,52.925705,2.142857,0.004229
7.224791,169.657150,6443.083984,52.377327,2.342857,0.044874
7.326427,174.028564,6624.636230,53.548828,1.971429,0.101636
7.478611,172.528564,6826.686523,57.088097,2.471429,0.152184
7.685100,155.628571,3222.285400,27.685997,2.371428,0.206489
7.732798,169.585709,6460.097656,53.632332,2.414286,0.047698
7.775205,165.814285,6575.462402,54.872147,2.185714,0.042407
7.872324,173.657150,6991.036621,56.597336,2.342857,0.097119
8.188023,178.228577,6458.815430,52.448578,1.771429,0.315699
8.245532,159.271423,3355.991211,26.916252,1.728571,0.057509
8.347678,94.728569,1508.075073,18.945709,2.271429,0.102146
8.366464,171.657150,5752.289551,43.534286,2.342857,0.018785
8.555950,164.685715,6508.891113,53.066658,2.314286,0.189487
8.572077,123.500000,2465.667969,24.395004,2.500000,0.016127
8.604275,172.314285,5729.386230,43.682281,2.685714,0.032198
8.607979,166.785721,6688.120117,56.503571,2.214286,0.003704
8.638103,134.128571,2662.683594,24.931862,1.871429,0.030125
8.923333,174.385712,6525.305176,52.271744,2.614286,0.285230
9.128410,167.971436,6797.922852,57.304764,2.028571,0.205077
9.133677,144.628571,2168.810059,17.956665,2.371428,0.005266
9.287363,166.114288,6429.398438,52.519051,1.885714,0.153687
9.762243,139.042862,2798.733398,25.010323,1.957143,0.474880
9.808728,167.057144,6497.970215,53.069580,1.942857,0.046485
9.952029,170.485718,5748.834961,43.615997,2.514286,0.143301
9.983295,169.085709,6973.786621,57.397705,1.914286,0.031266
9.985926,167.157150,6791.754395,57.368988,1.842857,0.002630
9.988806,152.157150,3071.218262,26.127487,1.842857,0.002880
10.077592,172.457138,6522.298340,52.114288,1.542857,0.088786
10.209893,169.785721,5686.262695,43.432938,2.214286,0.132301
10.491501,174.042862,6671.361816,52.820709,1.957143,0.281608
10.518513,164.757141,6306.570801,51.136246,2.242857,0.027012
10.526657,163.699997,3611.756592,28.890663,2.300000,0.008144
10.841175,170.128571,5772.622070,44.053391,1.871429,0.314518
11.021151,169.528564,6458.174805,52.111885,2.471429,0.179976
11.301056,170.328568,6986.409668,56.915001,1.671429,0.279905
12.019767,167.285721,6550.124023,53.261902,1.714286,0.718711
12.045602,154.242859,3076.958984,25.397621,1.757143,0.025835
12.584927,170.971436,6521.847168,51.618675,2.028571,0.539325
12.671489,166.128571,3796.466553,30.133568,1.871429,0.086562
12.788798,151.514282,2950.711182,24.776192,2.485714,0.117310
12.931085,168.442856,6500.382324,52.639557,2.557143,0.142286
13.378745,172.814285,6903.694824,57.174675,2.185714,0.447660
13.582834,169.328568,6653.179199,53.496971,1.671429,0.204089
13.629829,167.728577,6847.281738,56.914467,2.271429,0.046995
13.872985,176.871429,6871.873535,56.073807,2.128572,0.243155
14.040611,143.857147,2884.804932,26.078575,2.142857,0.167626
14.110461,168.471436,6626.671387,52.661522,1.528571,0.069850
15.085340,173.885712,6384.484863,50.988953,2.114286,0.974879
15.100365,169.314285,7001.403320,57.626862,1.685714,0.015024
15.102470,170.057144,6480.626953,51.341003,1.942857,0.002106
15.484629,169.057144,6639.257324,53.775993,1.942857,0.382158
15.522171,171.114288,7019.255371,56.848663,1.885714,0.037542
15.542852,167.314285,3586.967285,28.742859,1.685714,0.020681
15.613811,173.714279,6336.237305,51.857147,2.285714,0.070959
15.894338,172.242859,6419.563477,52.183327,1.757143,0.280526
16.483967,142.714279,2751.092773,25.058334,2.285714,0.589629
16.563484,168.257141,6501.893066,52.667137,2.742857,0.079517
17.074959,169.471436,6654.860840,52.706421,1.528571,0.511475
17.160002,166.942856,6947.928711,59.434006,2.057143,0.085043
17.219921,172.285721,6898.750977,57.139999,1.714286,0.059919
17.421335,155.042862,3098.477539,26.673805,1.957143,0.201414
18.247744,170.500000,6526.331543,51.488091,1.500000,0.826408
18.362207,170.800003,6588.132812,52.905716,2.200000,0.114464
18.468611,168.671432,6947.014160,58.057701,2.328571,0.106403
18.531040,170.600006,6415.319824,52.661430,2.400000,0.062429
18.690235,166.899994,3511.810547,27.873932,2.100000,0.159195
18.800480,174.042862,6650.898438,53.035004,1.957143,0.110245
18.886534,173.757141,6582.365234,53.204086,2.242857,0.086054
18.935118,170.871429,6931.046875,57.816917,2.128572,0.048584
19.025551,174.128571,6677.294922,52.942680,1.871429,0.090433
19.107899,140.114288,2682.286621,24.659996,2.885714,0.082348
19.264746,142.371429,2820.257812,26.002197,2.628572,0.156847
19.275991,173.728577,6943.693359,56.975670,2.271429,0.011246
19.535208,167.342850,6580.407715,53.366661,2.657143,0.259216
19.588846,170.371429,6993.862793,58.394005,1.628571,0.053638
19.832659,169.757141,6574.213379,52.184074,2.242857,0.243813
19.951210,170.042862,6617.641602,54.095184,1.957143,0.118551
20.013746,166.871429,6921.157227,57.407135,2.128572,0.062536
20.226170,176.971436,5792.437012,43.619286,2.028571,0.212423
20.291836,176.885712,6385.675781,49.766670,2.114286,0.065666
20.334572,148.642853,2880.053711,25.130943,1.357143,0.042736
20.628523,167.057144,6869.443848,56.915718,1.942857,0.293951
20.968029,172.714279,6487.934082,52.666664,2.285714,0.339506
21.358557,175.514282,5620.950195,43.364830,2.485714,0.390528
21.414881,156.671432,3111.951660,25.969048,2.328571,0.056324
21.695343,165.785721,6852.538086,57.248566,2.214286,0.280462
21.784424,120.242859,2286.068359,23.663734,1.757143,0.089081
22.079426,170.257141,6929.356445,57.967148,1.742857,0.295002
22.107483,170.557144,6452.388184,52.348373,2.442857,0.028057
22.368196,171.185715,6597.958008,53.535004,1.814286,0.260714
22.529579,163.242859,5792.993164,45.057854,1.757143,0.161383
22.614079,171.800003,6931.554199,57.323807,2.200000,0.084499
22.646921,159.814285,3291.314697,26.850006,3.185714,0.032843
22.948336,174.914291,6583.480469,53.764992,2.085714,0.301414
23.024849,169.885712,6599.798828,54.109291,2.114286,0.076513
23.143740,170.300003,3864.910400,29.282333,1.700000,0.118891
23.234564,165.628571,6784.380371,56.555153,2.371428,0.090824
23.786085,171.542862,6904.783691,57.402199,2.457143,0.551521
24.137247,166.300003,6985.461426,59.444992,1.700000,0.351162
24.194050,166.571426,5574.348145,44.857147,1.428571,0.056803
24.277807,170.742859,7020.708984,58.013718,2.257143,0.083757
24.454685,152.742859,3020.134277,26.314667,2.257143,0.176878
24.570482,167.600006,6562.837891,53.181328,2.400000,0.115797
