# time, vmax, integral, width, baseline, dt
0.107169,188.899994,6808.361328,51.477852,2.100000,0.000000
0.122459,184.114288,6961.905273,53.345543,1.885714,0.015290
0.209210,124.400002,2483.262939,24.769989,2.600000,0.086751
0.230539,186.642853,7010.545898,51.496880,2.357143,0.021329
0.243837,119.485718,2342.746826,23.835243,2.514286,0.013298
0.288133,177.928574,3536.767578,26.108040,2.071429,0.044296
0.307918,165.985718,3554.427002,28.981033,2.014286,0.019785
0.323757,183.199997,6559.926270,48.729080,2.800000,0.015839
0.391867,188.942856,6663.105957,48.613968,2.057143,0.068110
0.834333,184.357147,6998.378418,53.450371,2.642857,0.442466
0.880043,183.771423,7061.608887,52.822144,2.228571,0.045710
0.939767,182.371429,6519.079102,48.284279,2.628572,0.059724
1.062412,182.500000,6601.230957,49.089279,2.500000,0.122645
1.203266,183.814285,6683.834961,49.503670,2.185714,0.140854
1.613141,182.485718,6852.959961,52.804710,2.514286,0.409875
2.224352,132.742859,2702.916992,25.460007,2.257143,0.611211
2.618713,96.728569,1587.948975,18.868752,2.271429,0.394361
2.750071,180.128571,6946.961426,52.387894,1.871429,0.131358
2.885086,173.485718,3541.509766,27.594284,2.514286,0.135015
2.896901,183.714279,6502.527344,46.801468,2.285714,0.011815
2.975605,183.971436,7009.671387,52.599648,2.028571,0.078704
3.094009,177.914291,6563.321289,49.162071,2.085714,0.118404
3.396923,185.128571,6676.105957,48.799629,1.871429,0.302914
3.515169,184.671432,6635.372070,48.064339,2.328571,0.118246
3.555761,166.442856,3370.137695,25.944954,1.557143,0.040592
3.643427,148.028564,2885.790527,25.072762,1.971429,0.087666
3.715049,182.100006,6893.585449,52.891159,2.900000,0.071622
3.765772,185.614288,6381.875000,47.057686,2.385714,0.050723
3.797418,142.385712,2761.862061,25.000839,1.614286,0.031646
3.867706,182.785721,6680.756836,49.508026,2.214286,0.070288
4.173410,188.228577,6222.582520,44.278336,1.771429,0.305704
4.468148,130.199997,2569.250488,24.675117,2.800000,0.294738
4.509918,150.871429,3036.669922,25.003998,2.128572,0.041770
4.545085,180.671432,7028.324707,53.748260,2.328571,0.035167
4.722433,122.800003,2460.401123,24.823334,2.200000,0.177348
4.749693,188.600006,6954.866699,52.219086,2.400000,0.027260
4.989764,187.685715,6631.477051,47.133751,2.314286,0.240071
5.122012,182.971436,6524.402344,48.087135,2.028571,0.132248
5.713217,174.485718,3432.071777,25.672859,2.514286,0.591205
5.835643,191.785721,6533.375000,46.744484,2.214286,0.122426
6.187629,166.800003,6272.056641,48.377144,2.200000,0.351986
6.484687,109.385712,2277.357666,24.737732,2.614286,0.297058
6.598145,178.142853,6847.824219,53.011024,2.857143,0.113458
6.806015,178.671432,6400.796875,48.711197,2.328571,0.207870
6.868014,177.814285,6864.330566,52.038750,3.185714,0.061999
6.954937,183.828568,6707.989746,49.315010,2.171429,0.086923
7.034011,152.214279,3049.951660,24.760719,2.785714,0.079074
7.185073,166.071426,3332.793945,25.799995,1.928571,0.151062
7.495921,177.142853,5722.425293,41.464287,1.857143,0.310848
7.529970,178.314285,6925.096191,52.540497,1.685714,0.034049
7.639677,190.199997,5661.944336,37.983612,1.800000,0.109707
7.843959,182.557144,6415.836426,48.593086,2.442857,0.204282
8.086092,180.457138,6959.104492,53.068573,2.542857,0.242133
8.110901,125.757141,2508.573975,24.924171,2.242857,0.024809
8.193512,182.671432,6551.722168,48.741753,2.328571,0.082611
8.408674,185.057144,6892.962891,52.010674,1.942857,0.215162
8.641103,175.571426,3542.830811,27.119049,2.428571,0.232429
8.757517,151.085709,2409.179932,18.804604,1.914286,0.116414
8.966632,177.657150,6557.027344,49.517143,2.342857,0.209115
9.032773,183.757141,6971.572266,52.740105,2.242857,0.066141
9.192837,187.157150,7001.256836,51.509193,1.842857,0.160064
9.216593,187.157150,6414.688965,46.494049,1.842857,0.023756
9.346899,187.000000,6481.973145,47.705551,3.000000,0.130306
9.472576,185.128571,6984.835938,53.197861,1.871429,0.125677
9.605941,184.000000,6720.791016,49.884125,2.000000,0.133365
9.962512,187.771423,6643.898926,47.720581,2.228571,0.356571
10.006302,183.985718,6696.085449,49.460632,2.014286,0.043790
10.017295,178.228577,6558.686035,49.028999,2.771429,0.010993
10.040384,183.828568,6540.691895,48.111115,2.171429,0.023089
10.216157,179.857147,7077.616699,53.550896,2.142857,0.175773
10.289307,187.899994,6712.002930,47.420959,2.100000,0.073150
10.606805,183.928574,6657.638672,49.692459,2.071429,0.317498
10.782587,182.514282,7056.029785,53.647057,2.485714,0.175782
11.170781,182.028564,6674.073730,49.362373,1.971429,0.388194
11.434280,132.914291,2549.478027,24.343330,2.085714,0.263499
11.742788,144.757141,2893.967529,24.910332,2.242857,0.308508
11.996774,185.399994,6938.786133,51.258392,2.600000,0.253985
12.584176,180.528564,6506.743164,48.516541,2.471429,0.587402
12.766891,133.485718,2626.769287,25.049995,2.514286,0.182715
12.777796,176.357147,3686.492676,28.263741,1.642857,0.010904
13.031444,181.600006,6699.160156,49.406334,2.400000,0.253648
13.237762,181.100006,6425.195312,47.950714,1.900000,0.206319
13.290530,186.342850,7021.518555,51.806480,1.657143,0.052768
13.367170,132.314285,2660.245605,25.405006,1.685714,0.076640
13.376423,181.442856,6582.392578,49.644821,2.557143,0.009253
13.540555,185.314285,6496.490723,48.594284,2.685714,0.164132
13.720922,182.285721,7023.005371,52.841263,2.714286,0.180367
14.006046,181.171432,6635.860840,48.535126,1.828571,0.285124
14.141486,185.128571,6619.616211,48.114090,1.871429,0.135440
14.144108,181.971436,6543.363281,48.672424,2.028571,0.002622
14.458621,182.028564,5827.791016,39.814857,1.971429,0.314513
14.640788,181.242859,6950.352051,52.666748,2.757143,0.182167
14.754942,168.500000,3411.607910,26.678566,1.500000,0.114154
15.871593,182.085709,6714.605469,50.463165,1.914286,1.116652
15.960688,183.542862,6920.075195,51.279411,1.457143,0.089094
15.988514,183.071426,6987.356445,52.710922,2.928571,0.027826
16.013813,182.742859,7040.641113,52.367653,2.257143,0.025299
16.150585,175.571426,3742.258789,28.275391,2.428571,0.136772
16.224539,180.899994,6543.639648,48.945183,2.100000,0.073954
16.661922,183.057144,6495.305176,48.716911,2.942857,0.437384
16.727303,183.271423,6999.956055,51.270279,1.728571,0.065380
16.915623,179.542862,3937.358398,28.941185,2.457143,0.188320
17.557407,179.571426,6602.381348,48.267494,2.428571,0.641785
17.591911,178.542862,6955.707520,53.399162,2.457143,0.034504
17.774910,154.071426,3098.480225,25.773804,1.928571,0.182999
17.799232,184.642853,6743.823242,48.731087,1.357143,0.024323
17.831680,186.199997,6580.393066,48.724037,1.800000,0.032448
17.932632,174.842850,6547.183594,48.975555,2.157143,0.100952
17.970852,183.399994,6982.190430,52.959000,1.600000,0.038219
18.161180,181.685715,6583.918945,49.437614,2.314286,0.190329
18.257187,184.571426,6655.430176,48.860710,2.428571,0.096006
18.365271,135.714279,2679.220703,24.515144,2.285714,0.108084
18.411516,179.657150,5815.276367,41.668434,2.342857,0.046246
18.665989,175.957138,3680.981934,28.179291,2.042857,0.254473
18.808212,118.871429,2424.169922,25.222656,2.128572,0.142223
18.848656,184.328568,5825.923340,41.220787,1.671429,0.040443
18.997713,97.771431,1600.899780,18.359993,2.228571,0.149057
19.423237,182.957138,6982.566895,52.586090,2.042857,0.425524
19.495083,181.971436,6959.004395,52.636032,2.028571,0.071846
19.527275,181.871429,7038.754395,53.066422,2.128572,0.032192
19.638641,174.800003,6262.228516,47.551620,2.200000,0.111366
19.644604,180.757141,5790.383301,40.663605,2.242857,0.005962
19.721985,184.057144,7095.270020,53.234879,1.942857,0.077381
19.778288,178.385712,6689.297363,49.826187,1.614286,0.056303
19.820412,167.899994,3487.393066,26.961250,2.100000,0.042124
20.622442,184.114288,6635.717773,48.290001,1.885714,0.802031
21.080929,184.428574,6990.220215,52.769638,2.571429,0.458487
21.258091,173.500000,6439.500488,49.024994,2.500000,0.177162
21.790550,159.785721,2976.951416,25.216187,2.214286,0.532459
21.903360,175.571426,6552.449707,49.335716,2.428571,0.112810
21.929283,181.314285,6506.748047,47.979866,2.685714,0.025923
21.964088,182.628571,7036.346191,51.908905,2.371428,0.034805
22.112305,183.914291,5786.414551,40.859550,2.085714,0.148216
22.153250,179.514282,5657.933105,41.366508,2.485714,0.040945
22.282246,186.514282,7044.858398,52.917511,2.485714,0.128996
22.543697,177.699997,6817.883789,53.083572,2.300000,0.261452
22.629496,171.385712,3746.349365,29.159676,2.614286,0.085798
22.990173,189.157150,6630.289551,48.389931,1.842857,0.360678
23.134121,186.528564,5800.322266,39.919365,1.471429,0.143948
23.197359,184.157150,7056.857910,53.445663,1.842857,0.063238
23.300560,182.885712,6523.101074,47.861336,2.114286,0.103201
23.606083,157.814285,3263.858398,26.199463,2.185714,0.305523
23.899143,180.614288,6564.731445,49.788757,2.385714,0.293060
23.902639,150.528564,5452.640625,44.858246,2.471429,0.003496
23.926889,159.785721,3192.348877,25.649101,2.214286,0.024250
24.099428,148.800003,2895.442871,25.262100,2.200000,0.172539
24.271746,183.285721,6604.506836,49.012505,2.714286,0.172318
24.354248,178.628571,6596.774902,49.449341,2.371428,0.082502
24.367838,186.857147,6974.366699,51.867226,2.142857,0.013590
24.552608,145.057144,2884.781982,25.509521,1.942857,0.184771
24.627102,183.899994,6641.333008,47.511871,2.100000,0.074493
24.647518,139.985718,2718.170166,24.426476,3.014286,0.020416
24.686169,183.771423,6634.971680,48.880005,2.228571,0.038651
24.695919,185.257141,6697.133789,49.103531,1.742857,0.009750
25.403679,97.371429,1428.365479,17.026054,1.628571,0.707760
25.534655,183.042862,5553.123535,39.346962,1.957143,0.130976
25.545948,169.371429,3550.452637,26.834290,1.628571,0.011293
